2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[307]------ 报文返回的证书ID>3474813271258769001041842579301293446 
2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[310]------ 验证签名证书目录 :>D:\wwwroot\bccht\wwwroot/includes/modules/payment/unionpay/certs/ 
2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[320]------ 加载验签证书成功 
2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[290]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=3474813271258769001041842579301293446&currencyCode=156&encoding=utf-8&merId=777290058120957&orderId=2015110675918&queryId=201511061403339671528&respCode=00&respMsg=Success!&settleAmt=7900&settleCurrencyCode=156&settleDate=1106&signMethod=01&traceNo=967152&traceTime=1106140333&txnAmt=7900&txnSubType=01&txnTime=20151106140333&txnType=01&version=5.0.0 
2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[294]------ 摘要shax16>f6bdafa56ac8810c12f4f6dfa0b5da69db45d583 
2015-11-06 14:04:36, INFO, 116.246.38.72, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[296]------ 验签成功 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[307]------ 报文返回的证书ID>3474813271258769001041842579301293446 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[310]------ 验证签名证书目录 :>D:\wwwroot\bccht\wwwroot/includes/modules/payment/unionpay/certs/ 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[320]------ 加载验签证书成功 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[290]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=3474813271258769001041842579301293446&currencyCode=156&encoding=utf-8&merId=777290058120957&orderId=2015110675918&queryId=201511061403339671528&respCode=00&respMsg=success&settleAmt=7900&settleCurrencyCode=156&settleDate=1106&signMethod=01&traceNo=967152&traceTime=1106140333&txnAmt=7900&txnSubType=01&txnTime=20151106140333&txnType=01&version=5.0.0 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[294]------ 摘要shax16>14c276bc4d99115914115f68f049499ce696f07b 
2015-11-06 14:04:38, INFO, 27.192.190.103, File[ D:\wwwroot\bccht\wwwroot\includes\modules\payment\unionpay\common.php ], Line[296]------ 验签成功 
